#{"t_start": 1763241569.4602761, "env_id": "GridWorld-v0"}
r,l,t
9.83,18,14.786487
9.87,14,14.871487
8.87,15,14.883487
9.87,14,14.894489
9.87,14,14.906487
8.87,15,14.920486
9.86,15,14.931488
9.87,14,14.94449
9.87,14,14.956489
8.86,16,14.973914
8.87,15,14.983915
9.85,16,14.995914
9.87,14,15.00891
9.87,14,15.023913
9.87,14,15.035911
9.87,14,15.04691
9.87,14,15.057913
1.85,24,15.080915
-55.21,87,15.139935
9.86,15,15.148931
9.86,15,15.161934
9.87,14,15.173936
-156.21,188,15.31307
8.85,17,15.325076
9.86,15,15.336581
9.87,14,15.355588
9.87,14,15.365588
9.86,15,15.376589
9.72,29,15.402279
8.52,50,15.441279
9.87,14,15.450277
9.87,14,15.463336
9.87,14,15.473336
9.87,14,15.491339
9.87,14,15.503339
9.85,16,15.514337
-13.15,39,15.542337
9.87,14,15.56034
-67.17,95,15.62434
9.3,71,15.674337
9.85,16,15.685338
9.11,90,15.759338
9.87,14,15.768337
9.85,16,15.781339
9.87,14,15.792336
9.87,14,15.80734
9.86,15,15.819338
9.22,79,15.876346
9.87,14,15.885348
9.82,19,15.90535
9.87,14,15.915349
9.87,14,15.927348
9.87,14,15.956348
9.87,14,15.987992
9.87,14,16.008991
8.85,17,16.021992
8.87,15,16.032991
9.87,14,16.051994
9.87,14,16.064999
9.87,14,16.075994
9.87,14,16.086992
9.87,14,16.102991
9.84,17,16.11599
9.87,14,16.126992
9.87,14,16.135992
9.87,14,16.15099
-26.22,59,16.194991
9.85,16,16.206244
9.87,14,16.217242
9.87,14,16.232254
9.87,14,16.245254
9.87,14,16.256252
9.87,14,16.269254
9.87,14,16.289904
9.87,14,16.302671
9.87,14,16.313685
7.85,18,16.324676
9.85,16,16.34215
8.87,15,16.354148
9.85,16,16.368149
9.87,14,16.377593
9.87,14,16.397596
9.87,14,16.408598
9.87,14,16.417598
9.87,14,16.426597
9.87,14,16.443596
9.85,16,16.457597
9.87,14,16.466596
9.87,14,16.4776
9.87,14,16.495011
8.87,15,16.509013
9.85,16,16.52101
-54.16,81,16.579019
9.87,14,16.594018
9.87,14,16.608011
9.86,15,16.62301
9.87,14,16.635017
9.85,16,16.654015
9.87,14,16.666014
8.84,18,16.677012
9.87,14,16.68801
9.85,16,16.708013
9.86,15,16.72101
9.87,14,16.734479
9.87,14,16.746479
9.87,14,16.762483
9.87,14,16.776477
9.74,27,16.794477
9.66,35,16.819476
9.69,32,16.850016
9.87,14,16.862014
9.86,15,16.873014
8.83,19,16.888014
9.87,14,16.905014
9.87,14,16.915015
9.87,14,16.927015
9.87,14,16.936016
9.87,14,16.956018
9.85,16,16.970019
9.87,14,16.980014
9.85,16,16.993014
9.85,16,17.009375
9.87,14,17.021723
9.85,16,17.034722
9.84,17,17.047719
9.87,14,17.065772
9.85,16,17.078767
9.87,14,17.090766
9.67,34,17.113769
9.86,15,17.130778
9.87,14,17.142767
9.87,14,17.153776
9.87,14,17.164768
9.87,14,17.181768
8.85,17,17.193769
-44.17,72,17.242816
8.87,15,17.251818
9.87,14,17.270821
-20.21,52,17.308816
9.87,14,17.319818
9.87,14,17.331234
9.86,15,17.346507
9.86,15,17.359507
9.87,14,17.373837
9.86,15,17.38746
-6.17,34,17.423352
9.87,14,17.433359
9.87,14,17.445358
9.87,14,17.453869
9.87,14,17.471866
9.87,14,17.480867
8.87,15,17.49287
9.85,16,17.50939
8.87,15,17.52743
9.87,14,17.537426
9.87,14,17.548434
9.85,16,17.561428
8.87,15,17.576433
9.86,15,17.588427
9.87,14,17.600428
5.83,22,17.618426
9.85,16,17.634427
9.85,16,17.646428
-63.21,95,17.713428
9.87,14,17.729426
8.1,191,17.853429
9.87,14,17.865429
9.87,14,17.875426
9.87,14,17.888427
9.3,71,17.940934
9.77,24,17.968941
9.47,54,18.006936
9.53,48,18.041935
8.87,15,18.05894
9.43,58,18.097934
9.27,74,18.144938
9.24,77,18.195935
9.65,36,18.224939
9.73,28,18.243934
9.65,36,18.269938
9.83,18,18.287109
9.71,30,18.313378
-6.13,30,18.339378
9.87,14,18.348385
9.85,16,18.362382
9.86,15,18.382811
-33.13,57,18.429096
9.86,15,18.439095
9.85,16,18.450098
9.87,14,18.466103
9.85,16,18.482098
9.87,14,18.494096
9.83,18,18.511099
9.87,14,18.528097
9.85,16,18.539095
9.86,15,18.552095
9.86,15,18.564095
9.87,14,18.582097
9.87,14,18.594116
8.84,18,18.611096
9.86,15,18.623095
9.85,16,18.6401
-48.15,74,18.697103
9.87,14,18.708097
-14.13,38,18.741253
9.87,14,18.759603
1.83,26,18.778603
9.87,14,18.790599
9.87,14,18.801603
9.87,14,18.819601
9.87,14,18.832601
9.87,14,18.844602
9.87,14,18.855602
9.87,14,18.872602
9.82,19,18.884604
9.87,14,18.898602
9.87,14,18.907601
9.87,14,18.923601
-60.15,86,18.986623
0.87,23,19.002624
4.86,20,19.447624
9.87,14,19.465626
9.87,14,19.476623
9.19,82,19.543921
9.87,14,19.553077
9.85,16,19.572435
9.87,14,19.584438
9.86,15,19.596447
9.85,16,19.611442
9.71,30,19.640309
9.87,14,19.650309
9.87,14,19.664313
9.87,14,19.673821
9.87,14,19.690825
9.87,14,19.702823
9.87,14,19.713823
9.86,15,19.728822
9.87,14,19.742823
9.86,15,19.75382
9.87,14,19.764823
-41.18,70,19.813821
9.87,14,19.827821
9.87,14,19.842821
-189.11,200,19.970822
9.87,14,19.979822
9.87,14,19.995822
9.87,14,20.005822
9.86,15,20.016823
9.87,14,20.044667
8.87,15,20.094337
8.81,21,20.112334
9.87,14,20.122338
9.87,14,20.13648
9.86,15,20.15248
9.83,18,20.16848
9.87,14,20.181479
9.87,14,20.194479
9.87,14,20.209479
9.86,15,20.22249
9.5,51,20.257483
8.87,15,20.268479
9.87,14,20.284482
9.85,16,20.298486
9.87,14,20.310481
9.87,14,20.322481
9.85,16,20.34148
-89.15,115,20.420655
9.87,14,20.428654
8.87,15,20.440653
9.87,14,20.457655
9.87,14,20.468653
9.87,14,20.481655
9.87,14,20.491653
9.87,14,20.511618
9.87,14,20.521958
9.87,14,20.53412
9.87,14,20.544931
9.87,14,20.561934
9.87,14,20.573927
9.51,50,20.608932
9.26,75,20.659929
9.87,14,20.67493
9.87,14,20.69293
2.83,25,20.712927
9.87,14,20.723927
9.87,14,20.741929
9.87,14,20.752927
9.85,16,20.764927
9.87,14,20.774927
9.85,16,20.791965
8.87,15,20.801967
-108.19,138,20.899419
9.86,15,20.909419
9.87,14,20.924419
9.87,14,20.937419
9.83,18,20.950418
8.87,15,20.963427
9.87,14,20.979427
9.86,15,20.99142
9.87,14,21.005419
9.85,16,21.015419
9.87,14,21.031419
8.85,116,21.129422
9.87,14,21.14142
9.59,42,21.181419
9.73,28,21.208698
9.87,14,21.2237
9.82,19,21.241703
9.87,14,21.257699
9.85,16,21.280698
8.85,17,21.298702
9.87,14,21.315702
9.86,15,21.330712
9.87,14,21.353698
9.87,14,21.368425
9.87,14,21.38543
9.87,14,21.403945
-70.15,96,21.498945
9.78,23,21.524943
9.87,14,21.537943
9.87,14,21.551952
9.68,33,21.597103
9.17,84,21.665105
-2.0,200,21.799554
9.86,15,21.809555
-28.69,108,21.888065
9.4,61,21.928064
9.87,14,21.940064
9.05,96,22.013193
9.87,14,22.026705
9.86,15,22.037778
9.45,56,22.084404
6.85,19,22.099401
-25.13,49,22.137404
9.81,20,22.150403
9.86,15,22.163402
9.86,15,22.177403
9.85,16,22.194402
9.87,14,22.203403
9.87,14,22.214403
8.67,134,22.306401
-133.2,164,22.421422
9.6,41,22.449426
8.7,131,22.537428
9.82,19,22.548422
-12.85,108,22.627424
9.84,17,22.640422
9.6,41,22.668422
-2.0,200,22.800425
-29.81,121,22.882447
-14.87,200,23.008446
-6.95,200,23.128447
-3.98,200,23.243446
-2.0,200,23.789195
-2.0,200,23.926551
-41.6,200,24.059358
-2.0,200,24.177362
-4.97,200,24.308861
-2.0,200,24.431608
-2.0,200,24.550606
-2.0,200,24.678607
-2.99,200,24.803606
-2.0,200,24.932608
-47.54,200,25.060606
-2.0,200,25.181607
-2.0,200,25.31461
-2.0,200,25.440606
-2.0,200,25.566606
-53.48,200,25.697606
-13.88,200,25.829606
-48.53,200,25.951607
-2.0,200,26.080986
-3.98,200,26.201555
-2.0,200,26.343555
-2.99,200,26.466968
-22.79,200,26.587969
-4.97,200,26.713968
-2.99,200,26.845974
-2.0,200,27.384486
7.37,165,27.490995
-19.82,200,27.620993
-2.0,200,27.791254
-26.75,200,27.916254
-7.94,200,28.036255
8.69,132,28.121256
-33.53,196,28.260972
-54.47,200,28.392558
-6.95,200,28.519561
-2.0,200,28.644139
8.71,31,28.669139
-86.01,197,28.796139
-3.42,155,28.899142
-23.76,110,28.967139
-20.81,200,29.104139
-30.71,200,29.226138
-89.94,194,29.349138
8.17,184,29.46943
-87.8,178,29.583433
7.09,193,29.706433
8.11,91,29.764431
9.77,24,29.782434
7.92,110,29.860438
8.47,154,29.956432
-28.26,164,30.057431
9.27,74,30.110438
-30.0,140,30.210435
8.85,116,30.288433
8.01,200,30.423763
9.84,17,30.434762
-61.69,141,30.529966
-182.18,200,30.665144
-2.0,200,31.246142
-24.77,200,31.369142
9.51,50,31.41129
7.32,170,31.51829
-125.75,200,31.651527
-6.79,96,31.712527
9.78,23,31.733529
9.26,75,31.785535
9.14,87,31.840532
8.4,161,31.943527
8.12,189,32.076035
-167.33,200,32.207035
9.79,22,32.222043
-35.66,200,32.350036
-2.07,119,32.429461
-118.82,200,32.567943
-2.0,200,32.697163
-2.0,200,32.823162
-9.07,126,32.917161
-9.68,88,32.975161
-15.86,200,33.108174
-41.6,200,33.237161
9.66,35,33.264169
-2.0,200,33.395161
-20.22,53,33.431167
-106.41,158,33.534162
8.98,103,33.607164
-16.85,200,33.731163
8.93,108,33.800163
-27.55,93,33.864163
8.14,187,33.998162
-11.53,75,34.050164
8.45,156,34.148161
-143.57,200,34.276163
-99.02,200,34.408163
-2.0,200,34.957822
-43.58,200,35.082821
-76.25,200,35.202819
2.51,156,35.30597
-91.1,200,35.43197
-152.48,200,35.55897
-11.9,200,35.67697
-20.81,200,35.80297
-86.15,200,35.931974
8.02,199,36.051972
-155.45,200,36.176973
-36.65,200,36.30497
-91.1,200,36.428972
-27.74,200,36.548973
-44.57,200,36.681973
8.48,153,36.790971
-2.0,200,36.924321
-131.69,200,37.053443
-26.75,200,37.183444
-2.99,200,37.31145
-145.55,200,37.432443
-147.53,200,37.554443
