#{"t_start": 1763240285.0248914, "env_id": "LunarLander-v3"}
r,l,t
88.687985,1000,145.707288
95.975676,1000,146.426443
166.964271,617,146.931609
-20.747537,343,147.105792
124.179425,1000,147.847078
63.303336,1000,148.540954
-49.138706,291,148.676331
138.820889,1000,149.380983
168.675663,1000,150.094141
110.2885,1000,150.799648
103.945099,1000,153.155834
176.225315,478,153.570683
178.665316,416,153.78806
87.035601,1000,154.476967
126.798256,1000,155.166083
132.018382,1000,155.858626
105.78852,1000,156.539253
137.963709,1000,157.225646
93.411227,1000,157.922214
-52.923983,321,158.079325
137.333982,1000,158.783346
-43.870768,260,158.912816
84.49822,1000,161.19216
78.822707,1000,161.884188
137.906856,567,162.349439
21.936765,1000,163.037084
100.332839,1000,163.710778
-80.058249,386,163.894288
126.105189,1000,164.571323
109.88957,1000,165.281729
146.091538,1000,165.98513
-5.730204,333,166.327114
103.070893,1000,167.034308
92.222928,1000,167.54743
96.036775,1000,169.965792
44.726535,1000,170.666194
78.508719,1000,171.366143
-14.412407,412,171.797216
-4.632077,245,171.917815
132.541706,1000,172.602767
45.840525,1000,173.290853
114.056624,1000,174.000537
-10.670137,290,174.136007
104.633197,1000,174.850766
114.958637,1000,175.541117
139.180616,1000,176.24394
99.310413,1000,178.616513
144.697171,1000,179.295951
147.377128,1000,179.992891
143.323496,1000,180.675934
114.941771,1000,181.379371
-24.550104,348,181.538885
89.566495,1000,182.241735
170.214618,1000,182.930089
115.447925,1000,183.625977
214.782334,431,184.059293
197.501111,428,184.269762
95.114236,1000,184.955838
111.561379,1000,187.328786
127.43766,1000,188.033104
153.539868,1000,188.755434
99.052662,1000,189.450131
-6.352744,309,189.601992
139.43121,1000,190.324985
29.083974,292,190.659453
145.642988,1000,191.36289
100.903538,1000,192.063916
112.58961,1000,192.755368
104.849471,1000,193.450388
92.653833,1000,195.822336
129.184201,1000,196.348476
115.973515,1000,197.109281
-4.395787,320,197.475808
96.44036,1000,198.193881
-20.554167,334,198.358171
-41.043129,308,198.496187
-47.079385,422,198.90297
172.938334,1000,199.603037
152.654911,1000,200.315813
99.348803,1000,201.000075
-31.850695,341,201.174176
132.953351,1000,201.885434
161.056927,1000,204.241507
-15.176659,269,204.364902
145.768906,1000,205.054571
51.314864,1000,205.752918
102.758658,1000,206.471975
103.690379,1000,207.157516
148.602061,1000,207.868161
151.127739,1000,208.581924
146.806792,1000,209.265265
147.033269,1000,210.00642
18.75016,237,210.117506
130.516154,1000,210.821898
43.01694,330,211.164703
122.447275,1000,213.565419
137.35917,1000,214.260362
193.904579,861,214.712416
105.974924,1000,215.434443
105.770872,1000,216.129602
126.000716,1000,216.817245
131.630894,1000,217.509192
-54.446797,226,217.804153
62.107608,1000,218.489691
137.175583,1000,219.000772
109.533567,1000,221.178102
-38.049231,320,221.568844
-16.792479,319,221.725885
-88.152236,438,222.13236
160.244613,561,222.42251
63.664352,1000,223.102857
101.941533,1000,223.801911
120.0469,1000,224.487652
-80.387095,390,224.672097
110.640096,1000,225.36896
-49.01054,300,225.71022
74.138251,1000,226.392477
150.654106,1000,227.07244
183.326297,625,227.395713
162.93573,1000,229.760131
98.717386,1000,230.466096
35.193204,282,230.594952
138.870949,1000,231.295341
-2.516201,309,231.638543
140.684291,1000,232.344273
142.4592,1000,233.026706
54.772424,1000,233.735532
134.120995,1000,234.442081
113.650125,1000,235.136748
91.298068,1000,235.830328
104.960281,1000,236.524324
158.019203,1000,238.478475
126.565676,1000,239.167982
107.037978,1000,239.683154
-19.003449,236,240.015998
111.766046,1000,240.706599
116.436645,1000,241.397813
119.303254,1000,242.087692
128.85436,1000,242.779326
98.673378,1000,243.466106
144.417953,1000,244.159485
108.748851,1000,244.849313
9.523559,282,246.111847
137.528166,1000,246.787951
113.109473,1000,247.485665
103.180409,1000,248.18227
147.852,1000,248.893038
129.100283,1000,249.605988
134.241645,1000,250.322721
136.641443,1000,251.028073
132.786956,1000,251.727169
-2.023528,305,251.886161
109.618305,1000,252.574767
160.435895,1000,254.115648
-13.969055,293,254.260268
146.26263,1000,254.957932
130.930189,1000,255.639429
133.992165,1000,256.339863
174.342202,1000,257.035431
116.704712,1000,257.719979
-43.949411,364,257.885999
132.205546,1000,258.628513
114.379579,1000,259.314083
17.545605,322,259.669949
16.773538,360,259.850702
100.365524,1000,260.555248
120.7258,1000,262.855941
145.104523,1000,263.549907
115.146447,1000,264.23982
135.606651,1000,264.942295
149.021091,1000,265.634772
123.520685,1000,266.320898
125.337093,1000,267.013892
85.194423,1000,267.693012
123.605747,1000,268.386184
78.078637,1000,269.086521
122.364528,1000,271.396213
141.531654,1000,272.070798
84.231373,1000,272.799568
118.584779,1000,273.547926
135.048548,1000,274.261386
120.799413,1000,274.970766
105.41329,1000,275.672242
122.212473,1000,276.347914
145.028906,1000,277.03166
-53.800028,332,277.205942
78.664473,1000,278.991027
124.304694,1000,279.681302
167.413877,454,279.901064
129.72258,1000,280.597894
164.660932,1000,281.295385
9.49983,315,281.63171
-40.408243,351,281.818078
160.489239,1000,282.524949
112.646618,1000,283.274657
154.680229,1000,283.948938
213.782344,561,284.230273
168.973285,1000,284.920935
231.409414,333,285.275417
-6.486447,258,285.411103
113.461318,1000,286.9996
168.884371,1000,287.713801
145.56623,1000,288.412229
204.859276,433,288.625067
89.352575,1000,289.315557
131.590187,1000,290.009382
-60.205707,279,290.140552
123.972293,1000,290.833845
115.776288,1000,291.523041
62.569514,329,291.882
154.175971,1000,292.593882
136.4465,1000,293.286076
156.390873,1000,295.251546
129.465403,1000,295.945316
9.668164,272,296.088581
215.661852,423,296.291619
178.104833,1000,296.982105
117.163096,1000,297.72156
3.739066,286,298.056245
-6.156798,285,298.203989
169.420962,1000,298.899616
137.881778,1000,299.612134
-34.46914,301,299.755929
-48.986458,270,299.880646
18.127312,295,300.214319
190.184342,587,300.51004
96.618097,1000,301.193361
-27.531402,299,301.568347
119.178643,1000,303.286931
144.059068,1000,303.994946
143.786241,1000,304.67449
158.870152,1000,305.387254
159.52195,1000,306.111847
-57.625223,262,306.423596
-15.511858,325,306.588872
-13.467203,305,306.735115
138.936922,1000,307.432894
16.95175,257,307.551769
226.931514,435,307.98572
151.686843,1000,308.69317
-13.547995,288,308.833142
-42.431537,276,308.96004
122.919652,1000,309.64423
130.888849,1000,311.090522
12.985754,284,311.428005
139.897855,1000,312.127309
144.846822,1000,312.813445
122.744767,1000,313.496397
125.29714,1000,314.172703
135.874147,1000,314.852193
130.776227,1000,315.548706
152.14128,1000,316.242932
172.23534,1000,316.761864
124.320776,1000,317.451283
-16.152256,299,319.153072
131.954374,1000,319.824885
