#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
-105.326198,85,22.78005
-23.805338,144,22.84805
-109.105805,104,22.89805
-142.283588,139,22.96905
-96.752728,108,23.01705
-64.482099,108,23.06305
-61.149788,121,23.11505
-56.368975,155,23.18205
-59.441329,81,23.21705
-93.011952,135,23.44405
-48.450823,85,23.488053
-12.002943,114,23.549047
-38.000761,111,23.604052
-159.298922,120,23.656108
-71.491848,102,23.70106
-60.716791,155,23.768053
-220.945353,114,23.817053
-33.858308,123,23.872051
-33.973694,122,24.084047
-98.177956,114,24.137046
-94.610477,98,24.188047
-305.617048,171,24.268446
-152.758119,173,24.344535
-60.940877,107,24.390475
-79.732777,116,24.440467
-33.876392,133,24.653467
-97.821822,89,24.698469
-8.784301,140,24.772469
-204.336829,88,24.82047
-52.768984,136,24.88647
-89.577744,137,24.94547
-117.049861,117,24.99547
-83.661723,123,25.04747
-175.77516,91,25.089469
-30.885419,80,25.12447
-80.52315,129,25.342467
-101.5082,145,25.409467
-96.060149,143,25.477467
-60.596869,77,25.512474
-51.599409,85,25.549469
-162.466871,146,25.613468
92.605861,1000,26.240473
-75.639904,110,26.290473
-115.384385,92,26.330473
-61.383203,138,26.395539
38.30047,122,26.62182
-84.70829,92,26.66482
-61.235837,140,26.733818
-222.337363,145,26.79982
-116.769339,123,26.85382
-63.418072,123,26.905818
-115.767967,129,26.960826
-33.975081,112,27.007884
-91.945977,130,27.233818
-182.866014,169,27.320818
-26.044311,98,27.369819
-107.9683,111,27.420826
-41.888032,84,27.457885
-211.229961,152,27.524821
-201.121158,148,27.588821
-224.45211,173,27.662821
-156.750606,111,27.878823
-63.183448,136,27.945819
-120.287618,85,27.99182
-54.854662,148,28.063824
-106.493499,103,28.109823
-74.781508,111,28.157824
-82.481207,125,28.214824
-97.828065,138,28.276821
-42.327777,82,28.486821
-136.403114,112,28.550157
-26.756939,106,28.599666
-58.763778,131,28.66271
-84.308973,112,28.71571
8.703525,97,28.760779
-48.791898,131,28.816717
-255.853882,106,28.862872
-130.497141,136,28.919806
-15.05662,111,29.137801
-207.051501,159,29.2188
-20.220746,87,29.261801
-46.198452,143,29.333804
-87.805594,119,29.386805
-48.612881,131,29.442804
22.509095,129,29.498804
-172.999287,118,29.549804
-88.631916,116,29.771801
-61.137039,92,29.819802
-79.721848,86,29.861801
-224.625753,119,29.916802
-79.517064,120,29.975806
-77.281937,129,30.0328
-73.92226,71,30.0628
-48.867655,133,30.118806
-213.993671,142,30.179799
-42.027099,127,30.400806
-53.35749,99,30.455798
-202.621356,127,30.517798
-145.111786,113,30.573805
-20.642416,135,30.638807
-15.337506,86,30.676805
-115.319379,123,30.734041
-29.655529,137,30.792493
-68.195725,96,30.834842
-0.873036,132,31.055094
-106.574814,142,31.124094
-59.255862,89,31.165095
-70.018954,121,31.224094
9.957336,113,31.2751
-30.991473,160,31.3471
-43.309514,97,31.3901
-211.93745,97,31.432101
-20.282539,125,31.4861
-26.917898,138,31.714224
-143.3265,102,31.764224
-39.170926,128,31.825223
30.722855,107,31.87424
-170.250094,126,31.928236
-39.870553,160,31.997232
-50.159762,118,32.047231
-69.648164,134,32.103231
-49.482925,147,32.338227
-81.727485,153,32.412227
-44.835827,137,32.484227
51.059003,1000,33.523979
-0.315654,96,33.568982
-181.377462,145,33.632981
-110.492949,117,33.682982
-70.534506,107,33.728987
-172.897651,139,33.788984
-197.335999,116,33.995977
-72.799457,111,34.047978
-138.656778,144,34.121978
9.333571,159,34.198979
12.054465,121,34.252979
2.709012,103,34.299978
-48.221216,100,34.342979
-0.647868,104,34.387978
-82.991912,112,34.434979
12.860692,1000,35.066507
-5.454373,117,35.291141
-71.871618,133,35.357141
-2.614795,99,35.406138
-52.117843,148,35.477215
21.996516,165,35.548148
-83.45125,115,35.597138
-21.018833,138,35.655205
10.417844,1000,36.280146
-54.308643,125,36.334146
-27.494557,169,36.587144
-79.879977,85,36.62714
-36.066755,128,36.70314
-44.557635,114,36.757153
86.922349,1000,37.384371
-198.415806,195,37.46843
-52.410845,110,37.515376
-100.318173,136,37.572367
11.944208,99,37.615366
41.754949,153,37.841363
-132.030899,122,37.896363
2.482312,138,37.961364
-60.102616,94,38.006371
4.014544,120,38.059612
-168.771622,169,38.132669
-25.710766,128,38.188612
-6.046801,117,38.238612
-16.682177,156,38.469604
-49.480602,117,38.532606
-88.250054,132,38.603607
-28.871971,124,38.661607
-28.716539,106,38.708607
20.364621,157,38.776608
-4.147558,156,38.843622
-14.328356,107,38.889613
-205.097147,167,39.13061
-18.355026,156,39.209606
87.205079,1000,39.847705
-49.120544,86,39.887705
39.32322,1000,40.532708
-19.760203,152,40.602706
-40.954066,107,40.647713
-75.995198,116,40.696787
-50.599047,104,40.740712
31.130245,120,40.791713
-79.980004,189,41.048705
10.783626,135,41.111705
-26.21617,114,41.166705
